survey_id,response_id,registered,propensity,pres,sen,gov,party_reg,age,gender,hisp,race,educ,pres16,house18,county
SV_3WunfJOVGncwpE1,R_9tU9hqXzOYa5eKt,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,42,Male,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Guilford
SV_3WunfJOVGncwpE1,R_6JQLdA4olU1VKlr,Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Some other candidate,"Dan Forest, the Republican",Democratic,32,Male,Yes,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",Someone else,Union
SV_3WunfJOVGncwpE1,R_1gqkOFCbuafDrlR,Yes,I will definitely not vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,29,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Did not vote,Did not vote,Durham
SV_3WunfJOVGncwpE1,R_246jnSAb1RjKR4U,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,24,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_3WunfJOVGncwpE1,R_3e5eMivMrFJtjNO,Yes,I am likely to vote,Some other candidate,"Thom Tillis, the Republican",Some other candidate,Republican,68,Female,Yes,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Alamance
SV_3WunfJOVGncwpE1,R_3fT1HkO7KdqIpBZ,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,63,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Franklin
SV_3WunfJOVGncwpE1,R_1itHIkm68iB3Q1w,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Other,41,Female,No,White,"Associate degree (e.g. AA, AS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_3WunfJOVGncwpE1,R_2AYCCLX2RT0wvsn,Yes,I am likely to vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,55,Female,No,White,"Master's degree (e.g. MA, MS, MEd)",Did not vote,Did not vote,Cumberland
SV_3WunfJOVGncwpE1,R_3IY1nRm5vu5hMZv,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat",Undecided,Other,26,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Wake
SV_3WunfJOVGncwpE1,R_1H1zPMYwZglPKo1,Yes,I am 100% certain I will vote,Some other candidate,Undecided,Some other candidate,Democratic,19,Female,No,White,"Some college, no degree",Did not vote,Did not vote,Lincoln
SV_3WunfJOVGncwpE1,R_1N8rFHnGbzTW5p4,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,54,Female,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Franklin
SV_3WunfJOVGncwpE1,R_2pXDDZcjfssUQPj,Yes,I am 100% certain I will vote,Some other candidate,"Thom Tillis, the Republican","Dan Forest, the Republican",Republican,40,Male,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Someone else,The Republican party candidate,Union
SV_3WunfJOVGncwpE1,R_2n41HorPPioQP7j,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,23,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
SV_3WunfJOVGncwpE1,R_Ov3qkjGY12oQn0R,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Other,41,Female,No,White,"Associate degree (e.g. AA, AS)",,The Democratic party candidate,Alamance
SV_3WunfJOVGncwpE1,R_PBehjNVswb9YHeh,Yes,I am likely to vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,53,Female,No,Black or African American,"Doctorate or professional degree (e.g. MD, DDS, PhD)","Hillary Clinton, the Democrat",The Democratic party candidate,Guilford
SV_3WunfJOVGncwpE1,R_pFMRl5Ds0fvh07T,Yes,I am likely to vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,39,Male,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Cumberland
SV_3WunfJOVGncwpE1,R_1LqFI4rmNCwcyh6,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,19,Male,No,White,"Some college, no degree",Did not vote,Did not vote,Haywood
SV_3WunfJOVGncwpE1,R_2X7l4NgwvJF2WNA,Yes,I am likely to vote,Undecided,"Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,38,Female,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Did not vote,Iredell
SV_3WunfJOVGncwpE1,R_1nPGlXkvj2Tdsi8,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,32,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Pitt
SV_3WunfJOVGncwpE1,R_3gXH5M18LQLavnf,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,57,Female,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)","Hillary Clinton, the Democrat",The Democratic party candidate,Orange
SV_3WunfJOVGncwpE1,R_VQidV7A9CNeaAed,Yes,50/50,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,46,Male,No,Asian,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",Unsure / Don't remember,Wake
SV_3WunfJOVGncwpE1,R_3aYIovETFfy09u9,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Cal Cunningham, the Democrat","Dan Forest, the Republican",Republican,42,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Union
