survey_id,response_id,registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
SV_6tbzcMgiF3B4MxD,R_6nkdmW7Ji6WrxwB,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,"Cal Cunningham, the Democrat",Democratic,Female,36,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_3me15fggvDxDcwr,Yes,I am likely to vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Thom Tillis, the Republican",Unaffiliated,Female,20,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Did not vote,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_Tke2qIImbp9JDt7,Yes,I am 100% certain I will vote,"Donald Trump, the Republican",Undecided,"Thom Tillis, the Republican",Republican,Female,26,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Vance
SV_6tbzcMgiF3B4MxD,R_1hYKXu1NAQXmFdq,Yes,I am 100% certain I will vote,Some other candidate,Undecided,"Cal Cunningham, the Democrat",Republican,Female,30,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Onslow
SV_6tbzcMgiF3B4MxD,R_bronRpMIUR0qUVP,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,Undecided,Unaffiliated,Female,19,No,Asian,"Some college, no degree",Did not vote,Did not vote,Wake
SV_6tbzcMgiF3B4MxD,R_2SIgwjBqZcZn3Me,Yes,I am 100% certain I will vote,Undecided,"Roy Cooper, the Democrat",Undecided,Democratic,Female,57,No,White,"Associate degree (e.g. AA, AS)",Did not vote,The Republican party candidate,Buncombe
SV_6tbzcMgiF3B4MxD,R_1dv15AybF6jrCCA,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,38,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_UbYswgDjVqiv1rX,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,20,Yes,White,"Bachelor's degree (e.g. BA, BS)",Did not vote,The Republican party candidate,Iredell
SV_6tbzcMgiF3B4MxD,R_73DfMHGInz7PO5X,Yes,I am 100% certain I will vote,Some other candidate,Undecided,Some other candidate,Democratic,Male,38,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Burke
SV_6tbzcMgiF3B4MxD,R_3ls1zAlW18zvfA5,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,30,No,White,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Lincoln
SV_6tbzcMgiF3B4MxD,R_2xzuTPlK6LCE057,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,35,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Cleveland
SV_6tbzcMgiF3B4MxD,R_yHLRF4OVT0dNf2N,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,27,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Watauga
SV_6tbzcMgiF3B4MxD,R_bIRr9LyKXpJxprr,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,40,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Onslow
SV_6tbzcMgiF3B4MxD,R_1LXP5F12riboN7E,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,68,Yes,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Democratic party candidate,Alamance
SV_6tbzcMgiF3B4MxD,R_31AzvkI6gZLqcWg,Yes,I am 100% certain I will vote,Undecided,Undecided,Undecided,Other,Male,27,No,White,"Master's degree (e.g. MA, MS, MEd)",Someone else,Unsure / Don't remember,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_wO74AFL4fi29SCd,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,21,No,Asian,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Robeson
