survey_id,response_id,registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
SV_4YDQeM52RDThwln,R_110Vb3QtTGb1zqL,Yes,I am 100% certain I will vote,Some other candidate,"Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,40 ,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Someone else,The Republican party candidate,Union
SV_4YDQeM52RDThwln,R_cvXUzoSrkeNR9lf,Yes,I am likely to vote,Some other candidate,Some other candidate,Undecided,Republican,Female,65 ,No,White,"Some college, no degree",Someone else,Unsure / Don't remember,Carteret
SV_4YDQeM52RDThwln,R_2pWTNZGjFC8i5Nn,Yes,I am likely to vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,26 ,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Richmond
SV_4YDQeM52RDThwln,R_3rHZxqZomC7XEfB,Yes,I am 100% certain I will vote,Some other candidate,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,24 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,New Hanover
SV_4YDQeM52RDThwln,R_uraFuiGW1Iyq9Gh,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,50 ,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Wake
SV_4YDQeM52RDThwln,R_2EHvQ7J6OMJFZJv,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,39 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Polk
SV_4YDQeM52RDThwln,R_3knOP0lqbttWTe4,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,54 ,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Union
SV_4YDQeM52RDThwln,R_ymtUSQks07PGm4x,No,I am 100% certain I will vote,Undecided,Undecided,Some other candidate,Republican,Male,53 ,No,White,Less than a high school diploma,Someone else,Someone else,Cabarrus
SV_4YDQeM52RDThwln,R_2OQ49shnKptP1BW,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,33 ,No,White,"Some college, no degree","Hillary Clinton, the Democrat",Did not vote,Buncombe
SV_4YDQeM52RDThwln,R_1OJlvvfOIiz1Vc3,Yes,I am 100% certain I will vote,Some other candidate,"Roy Cooper, the Democrat",Undecided,Republican,Female,30 ,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Onslow
SV_4YDQeM52RDThwln,R_BzWLDoRG2JhxxsZ,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,59 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",Unsure / Don't remember,Wake
SV_4YDQeM52RDThwln,R_3qHATWCShhjb5pp,Yes,I am likely to vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,31 ,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Unsure / Don't remember,Pamlico
SV_4YDQeM52RDThwln,R_cx3uH25JaeCzuyR,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,30 ,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Did not vote,The Democratic party candidate,Wake
SV_4YDQeM52RDThwln,R_ZwbVHzNxb0GnvIB,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,44 ,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Catawba
SV_4YDQeM52RDThwln,R_2dJUELqcZ4fSYYC,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,27 ,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,The Democratic party candidate,Wake
SV_4YDQeM52RDThwln,R_23949lZlNT19zYZ,Yes,I am 100% certain I will vote,Undecided,"Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,56 ,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Democratic party candidate,Guilford
